edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
271,58,59,-122.3864495,37.7111539,-122.3900339,37.7161347,-122.38824170000001,37.7136443
272,88,58,-122.3863094,37.7171906,-122.3864495,37.7111539,-122.38637944999999,37.714172250000004
273,58,88,-122.3864495,37.7111539,-122.3863094,37.7171906,-122.38637944999999,37.714172250000004
274,7739,59,-122.3899678,37.7162057,-122.3900339,37.7161347,-122.39000085,37.7161702
275,59,7739,-122.3900339,37.7161347,-122.3899678,37.7162057,-122.39000085,37.7161702
276,60,61,-122.3924653,37.7178997,-122.39261,37.7179691,-122.39253765000001,37.7179344
277,61,60,-122.39261,37.7179691,-122.3924653,37.7178997,-122.39253765000001,37.7179344
278,7740,60,-122.3915575,37.7175683,-122.3924653,37.7178997,-122.3920114,37.717734
279,1795,61,-122.3920565,37.7185891,-122.39261,37.7179691,-122.39233325000001,37.718279100000004
280,61,1795,-122.39261,37.7179691,-122.3920565,37.7185891,-122.39233325000001,37.718279100000004
281,61,62,-122.39261,37.7179691,-122.393545,37.718487,-122.3930775,37.71822805
282,62,61,-122.393545,37.718487,-122.39261,37.7179691,-122.3930775,37.71822805
283,9208,61,-122.3929618,37.7175528,-122.39261,37.7179691,-122.3927859,37.71776095
284,61,9208,-122.39261,37.7179691,-122.3929618,37.7175528,-122.3927859,37.71776095
285,62,63,-122.393545,37.718487,-122.3954611,37.7195594,-122.39450305,37.7190232
286,63,62,-122.3954611,37.7195594,-122.393545,37.718487,-122.39450305,37.7190232
287,808,62,-122.393005,37.7191263,-122.393545,37.718487,-122.393275,37.718806650000005
288,62,808,-122.393545,37.718487,-122.393005,37.7191263,-122.393275,37.718806650000005
289,63,7000,-122.3954611,37.7195594,-122.396563,37.7201803,-122.39601205,37.71986985
290,7000,63,-122.396563,37.7201803,-122.3954611,37.7195594,-122.39601205,37.71986985
291,63,6206,-122.3954611,37.7195594,-122.3960193,37.718938,-122.3957402,37.7192487
292,6206,63,-122.3960193,37.718938,-122.3954611,37.7195594,-122.3957402,37.7192487
293,2603,63,-122.394878,37.7201917,-122.3954611,37.7195594,-122.39516955,37.71987555
294,63,2603,-122.3954611,37.7195594,-122.394878,37.7201917,-122.39516955,37.71987555
295,64,5602,-122.397309,37.7206065,-122.3996007,37.7208905,-122.39845485000001,37.7207485
296,5602,64,-122.3996007,37.7208905,-122.397309,37.7206065,-122.39845485000001,37.7207485
297,5746,64,-122.39708,37.7208831,-122.397309,37.7206065,-122.39719450000001,37.720744800000006
298,64,5746,-122.397309,37.7206065,-122.39708,37.7208831,-122.39719450000001,37.720744800000006
299,64,7921,-122.397309,37.7206065,-122.3981471,37.7210817,-122.39772805000001,37.7208441
300,7921,64,-122.3981471,37.7210817,-122.397309,37.7206065,-122.39772805000001,37.7208441
301,7920,64,-122.3967511,37.7202911,-122.397309,37.7206065,-122.39703005000001,37.7204488
302,64,7920,-122.397309,37.7206065,-122.3967511,37.7202911,-122.39703005000001,37.7204488
