section_id,s_node,e_node,length,direction,interval
13287,14481,4513,187.228,0,0.025733768939971924
13288,4514,5041,263.38300000000004,0,0.24631579220294952
13289,4514,4515,142.621,0,0.23972122371196747
13290,4515,5033,251.79300000000006,0,0.05550599470734596
13291,4515,5045,221.016,0,0.06866146624088287
13292,4516,14265,141.91199999999995,0,0.17030760645866394
13293,4516,5038,132.063,0,0.23903292417526245
13294,14263,4516,37.595,0,0.0
13295,4517,5087,549.571,1,0.2406812459230423
13296,5087,4517,549.571,1,0.0
13297,4517,5083,22.265,0,0.48602351546287537
13298,5082,4517,16.180999999999994,0,0.2142341136932373
13299,14475,4517,201.576,0,0.0
13300,4518,22866,166.72,0,0.0
13301,4518,22321,73.65299999999998,1,0.0
13302,22321,4518,73.65299999999998,1,0.0
13303,22299,4518,11.878,1,0.16836553812026978
13304,4518,22299,11.878,1,0.0
13305,38106,4518,67.968,0,0.0
13306,4519,22320,73.053,0,0.0
13307,4519,38108,60.807,0,0.0
13308,4530,4519,102.486,0,0.10407404601573944
13309,22297,4519,9.919,0,0.11684416979551315
13310,4520,22250,130.601,0,0.06064954400062561
13311,4520,22251,101.315,0,0.1353008896112442
13312,4527,4520,145.511,0,0.0
13313,22330,4520,99.212,0,0.2710402309894562
13314,4521,22704,98.242,0,0.11213726550340652
13315,39220,4521,57.351000000000006,1,0.0
13316,4521,39220,57.351000000000006,1,0.11213726550340652
13317,4521,22707,11.491,1,0.11213726550340652
13318,22707,4521,11.491,1,0.13828450441360474
13319,22707,4522,97.058,1,0.15122491121292114
13320,4522,22707,97.058,1,0.01758827269077301
13321,4522,22692,580.2050000000003,1,0.01758827269077301
13322,22692,4522,580.2050000000003,1,0.0
13323,22693,4522,263.146,1,0.2908031642436981
13324,4522,22693,263.146,1,0.01758827269077301
13325,28927,4523,10.467,1,0.0
13326,4523,28927,10.467,1,0.0
13327,4523,22252,111.172,0,0.0
13328,4523,4525,130.953,0,0.0
13329,22298,4523,132.322,0,0.07145655900239944
13330,22713,4524,583.238,1,0.2178504317998886
13331,4524,22713,583.238,1,0.0
13332,4524,22270,106.361,1,0.0
13333,22270,4524,106.361,1,0.09353026747703552
13334,22276,4524,11.755,0,0.20245900750160217
13335,28925,4525,9.897,1,0.0
13336,4525,28925,9.897,1,0.04767468571662903
13337,4525,4526,86.44800000000002,0,0.04767468571662903
13338,22251,4525,114.93,0,0.0
13339,4526,4529,140.941,0,0.06997150182723999
13340,4526,22246,73.45599999999997,0,0.06997150182723999
13341,33431,4526,9.682,0,0.13920682668685913
13342,4527,22329,98.407,0,0.0
13343,4529,4527,104.369,0,0.0
13344,28929,4527,88.56200000000003,0,0.2181432843208313
13345,4528,22298,11.54,0,0.0338514968752861
13346,4528,4530,112.281,0,0.0338514968752861
13347,22317,4528,95.538,0,0.0
13348,28928,4528,10.856,0,0.10250697284936905
13349,4529,22698,93.488,0,0.0
13350,22251,4529,144.71099999999996,0,0.0
13351,4530,22300,11.574000000000002,1,0.10407404601573944
13352,22300,4530,11.574000000000002,1,0.0
13353,22316,4530,94.951,0,0.0
13354,4531,4532,87.368,0,0.864417552947998
13355,39610,4532,136.55700000000002,0,0.5642790794372559
13356,4533,22044,213.932,0,0.0
13357,4535,4533,23.815,0,0.0
13358,22045,4533,32.928000000000004,0,0.11775330454111099
13359,4535,4534,20.424,1,0.0
13360,4534,4535,20.424,1,0.0
13361,4534,39889,217.568,0,0.0
13362,33018,4534,357.797,0,0.08583985269069672
13363,4535,22046,25.135,0,0.0
13364,22042,4535,28.917,0,0.0
13365,22045,4535,24.48500000000001,0,0.0
13366,4536,4561,12.505,0,0.22793370485305786
13367,4536,39761,216.735,0,0.12124848365783691
13368,27526,4536,88.979,0,0.0
13369,4537,25965,24.339,0,0.0
13370,25964,4537,23.355,0,0.0
13371,4538,4541,176.042,0,0.24935553967952728
13372,4538,4539,61.03299999999999,0,0.20113983750343323
13373,7820,4538,70.29,0,0.0
13374,4539,4540,71.684,0,0.07903801649808884
13375,7823,4539,204.992,0,0.1156933605670929
13376,4540,33082,215.826,0,0.34095942974090576
13377,4540,33083,88.992,0,0.22477737069129944
13378,7823,4541,187.289,0,0.12156069278717041
13379,4542,4543,139.35399999999998,0,0.0
13380,4542,14997,117.198,0,0.08152765035629272
13381,4543,4544,66.399,0,0.14292582869529724
13382,4549,4543,229.563,0,0.04374406486749649
13383,4544,25002,34.068000000000005,0,0.09397393465042114
